ID,착과량(int)
TEST_0000,236.6867043039281
TEST_0001,747.530079448105
TEST_0002,156.4434238603556
TEST_0003,451.12277768634954
TEST_0004,703.7967988607279
TEST_0005,267.8309968262215
TEST_0006,80.21468011391609
TEST_0007,44.42726618964908
TEST_0008,347.4644180724921
TEST_0009,230.2781039569477
TEST_0010,558.6902080272189
TEST_0011,739.1263191762835
TEST_0012,448.40576417379566
TEST_0013,384.9576706808133
TEST_0014,57.00173691216009
TEST_0015,134.87763587934413
TEST_0016,457.45112781190096
TEST_0017,433.17517264403915
TEST_0018,243.57668207849082
TEST_0019,568.5860972947721
TEST_0020,256.35734260116914
TEST_0021,355.0465071032236
TEST_0022,450.57001155264646
TEST_0023,239.51126954082667
TEST_0024,143.09803006365107
TEST_0025,650.2042502187937
TEST_0026,186.27982579960934
TEST_0027,756.9962035523924
TEST_0028,611.1272337395886
TEST_0029,446.4334952279281
TEST_0030,37.35587344689296
TEST_0031,567.5641536677799
TEST_0032,646.3786685587368
TEST_0033,533.0695470891483
TEST_0034,549.2699102619922
TEST_0035,341.577353497679
TEST_0036,236.87531037541964
TEST_0037,652.1533290015093
TEST_0038,18.809226842119074
TEST_0039,441.27600298983555
TEST_0040,373.633853426492
TEST_0041,140.9788854812224
TEST_0042,721.1259714699012
TEST_0043,71.83646307900389
TEST_0044,594.9138588770451
TEST_0045,333.36136079298325
TEST_0046,741.1865105854015
TEST_0047,482.2570070356561
TEST_0048,345.5178015108591
TEST_0049,445.29123099803553
TEST_0050,552.1969097182268
TEST_0051,650.4867328204466
TEST_0052,400.6745035635248
TEST_0053,455.3523942675248
TEST_0054,360.6415023178147
TEST_0055,160.45788453076477
TEST_0056,734.1435305095074
TEST_0057,530.2244840298506
TEST_0058,559.7074453757821
TEST_0059,536.4812994349056
TEST_0060,457.08106816782384
TEST_0061,41.48119841567399
TEST_0062,542.5146489561046
TEST_0063,342.4322853295754
TEST_0064,507.86495922977747
TEST_0065,338.63472972647287
TEST_0066,448.76343708864965
TEST_0067,454.99632399328493
TEST_0068,151.59585460866018
TEST_0069,668.977629986647
TEST_0070,739.1744823050544
TEST_0071,743.2636857549849
TEST_0072,647.5879558783706
TEST_0073,240.59029333052342
TEST_0074,138.13156814856194
TEST_0075,255.40036023911347
TEST_0076,134.1105616069849
TEST_0077,646.8969858075268
TEST_0078,731.019468515477
TEST_0079,332.39364516618343
TEST_0080,255.29291833499926
TEST_0081,45.61547757773054
TEST_0082,49.23905354215677
TEST_0083,651.0139920502995
TEST_0084,638.5504085968213
TEST_0085,495.00320866452796
TEST_0086,252.6421318484549
TEST_0087,350.3144435645562
TEST_0088,61.33302017160977
TEST_0089,136.93730731683368
TEST_0090,67.77192742760286
TEST_0091,375.4651101633604
TEST_0092,533.3035509192648
TEST_0093,536.1532892788061
TEST_0094,544.777365329846
TEST_0095,353.4050729349236
TEST_0096,244.6006135133021
TEST_0097,247.1978327776965
TEST_0098,222.72608437122568
TEST_0099,634.8779075610821
TEST_0100,685.2483157353023
TEST_0101,250.171009953931
TEST_0102,421.46878931518245
TEST_0103,546.4571124558622
TEST_0104,237.68604307704942
TEST_0105,753.7523486968294
TEST_0106,138.27841029813726
TEST_0107,58.1844450027522
TEST_0108,446.5836587956183
TEST_0109,240.76529652597208
TEST_0110,655.1324303920082
TEST_0111,342.6818648947957
TEST_0112,607.9104103416029
TEST_0113,453.6543200857974
TEST_0114,684.8852765353118
TEST_0115,160.39593225741913
TEST_0116,651.562001680181
TEST_0117,651.115974352903
TEST_0118,340.9298740820665
TEST_0119,481.7873890613125
TEST_0120,169.2261743693173
TEST_0121,445.0228793700737
TEST_0122,339.77437655514
TEST_0123,554.0502443064684
TEST_0124,730.8472060566528
TEST_0125,548.5929785925368
TEST_0126,270.90773093033596
TEST_0127,573.0959403799131
TEST_0128,534.8192475437664
TEST_0129,339.6147316374403
TEST_0130,45.03896162476033
TEST_0131,238.24457067329126
TEST_0132,477.94609157183373
TEST_0133,343.16068339258265
TEST_0134,101.09348767343792
TEST_0135,249.8168700269586
TEST_0136,782.0480584304901
TEST_0137,262.02066145926665
TEST_0138,164.71938792429012
TEST_0139,538.4218955702192
TEST_0140,744.6083294373102
TEST_0141,746.8140869186872
TEST_0142,235.78984240244827
TEST_0143,446.08620413483663
TEST_0144,49.17234971978226
TEST_0145,553.403932236411
TEST_0146,252.84155996698553
TEST_0147,151.03937041031816
TEST_0148,147.67265274353446
TEST_0149,390.01673315987796
TEST_0150,577.7318233642065
TEST_0151,638.3448174542133
TEST_0152,746.3653684576814
TEST_0153,164.82207458271722
TEST_0154,545.7897430408354
TEST_0155,754.483831557644
TEST_0156,511.39704086973654
TEST_0157,331.45839973969356
TEST_0158,155.89478462646036
TEST_0159,244.38196427771138
TEST_0160,539.1753477859231
TEST_0161,239.76107929766135
TEST_0162,225.4085532619637
TEST_0163,21.94723286100241
TEST_0164,544.215382045478
TEST_0165,552.2310519563771
TEST_0166,592.6748790058027
TEST_0167,645.4566179093903
TEST_0168,538.9515258132998
TEST_0169,367.46531837627003
TEST_0170,656.2835001713812
TEST_0171,542.5653631824999
TEST_0172,460.21559346785267
TEST_0173,245.11967824460947
TEST_0174,720.8503731853057
TEST_0175,142.74213966661253
TEST_0176,265.4653613037974
TEST_0177,355.67261265304285
TEST_0178,137.63568355676313
TEST_0179,333.5147422993254
TEST_0180,262.40444718893764
TEST_0181,356.39941610032565
TEST_0182,449.79846600395507
TEST_0183,246.9515718385905
TEST_0184,735.4835843375121
TEST_0185,542.4069722077198
TEST_0186,341.5412709326207
TEST_0187,647.2292231066856
TEST_0188,642.0731246787453
TEST_0189,243.6128581018
TEST_0190,649.1450071157171
TEST_0191,144.985793631888
TEST_0192,349.90528598851034
TEST_0193,644.125072934157
TEST_0194,638.2171578681986
TEST_0195,744.1396016812728
TEST_0196,245.74252559000894
TEST_0197,72.04270934949994
TEST_0198,238.55546117290174
TEST_0199,20.376622711257518
TEST_0200,165.40782399637072
TEST_0201,335.8938531332705
TEST_0202,256.41700815602724
